"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.767477382E1,1.767938971E1,1.201076996E2,-1.000000000E0,-1.000000000E0,2.016864698E3,2.016864698E3
1.685595989E0,4.767795106E1,1.769308722E1,1.060467133E2,1.336621761E1,-1.000000000E0,4.800000000E1,4.800000000E1
2.685612679E0,4.767797928E1,1.769297421E1,1.074529191E2,1.352432919E1,-1.000000000E0,3.200000000E1,3.200000000E1
3.685629964E0,4.767802440E1,1.769288736E1,1.193733940E2,1.352432919E1,-1.000000000E0,2.400000000E1,2.400000000E1
4.685646772E0,4.767813946E1,1.769285280E1,1.204617306E2,1.387882042E1,-1.000000000E0,2.400000000E1,2.400000000E1
5.685663819E0,4.767824813E1,1.769282503E1,1.205014602E2,1.391395760E1,-1.000000000E0,1.600000000E1,1.600000000E1
6.685681105E0,4.767835910E1,1.769281563E1,1.204653468E2,1.391395760E1,-1.000000000E0,1.600000000E1,1.600000000E1
7.467586398E0,4.767846621E1,1.769281779E1,1.274505886E2,1.383011341E1,-1.000000000E0,1.600241655E1,1.600241655E1
8.467602849E0,4.767858940E1,1.769280564E1,1.202740203E2,1.383011341E1,3.576362181E2,1.600241655E1,1.600241655E1
1.021903849E1,4.767869967E1,1.769283117E1,1.200255344E2,1.410424805E1,3.572613525E2,1.200181241E1,1.200181241E1
1.121940339E1,4.767882672E1,1.769282217E1,1.197897620E2,1.411989975E1,3.572613525E2,1.200181241E1,1.200181241E1
1.222018194E1,4.767896104E1,1.769281266E1,1.196381940E2,1.411989975E1,3.572613525E2,1.200181241E1,1.200181241E1
1.322094762E1,4.767909293E1,1.769277453E1,1.195431117E2,1.415268326E1,3.572613525E2,8.001208274E0,8.001208274E0
1.422172761E1,4.767918465E1,1.769276398E1,1.194850027E2,1.416049099E1,3.572613525E2,8.001208274E0,8.001208274E0
1.522245860E1,4.767934607E1,1.769274981E1,1.194491579E2,1.416049099E1,3.575872192E2,8.001208274E0,8.001208274E0
