"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.936038333E-1,1.781295776E-2,1.086590424E0,1.002450394E1
9.036438333E-1,-4.950205994E-1,1.360820160E0,9.503886566E0
9.136838333E-1,-3.415896606E-1,1.592089233E0,9.151070251E0
9.237238333E-1,2.177970886E-1,1.360670471E0,9.109606476E0
9.337648333E-1,9.270222473E-1,1.164578247E0,9.335486755E0
9.438048333E-1,6.749464417E-1,1.396745453E0,9.720186768E0
9.538448333E-1,1.646575928E-2,1.101409607E0,9.918823700E0
9.638858333E-1,-4.640350342E-3,1.092128906E0,9.450597382E0
9.739258333E-1,2.356100464E-1,1.171164551E0,9.332492981E0
9.839658333E-1,7.731422424E-1,1.101110229E0,9.795480194E0
9.940058333E-1,7.282356262E-1,1.322649536E0,1.005998016E1
1.004046833E0,1.269360352E-1,1.346300354E0,1.032433044E1
1.014086833E0,7.161108398E-1,1.284628601E0,1.017958145E1
1.024157833E0,1.090332642E0,9.633966064E-1,9.930948486E0
1.034197833E0,9.845027161E-1,1.156495056E0,9.355844421E0
1.044237833E0,3.468287659E-1,1.305585022E0,9.438322906E0
1.054278833E0,2.182461548E-1,1.229692841E0,9.326655121E0
1.064318833E0,5.598358154E-2,1.044976959E0,9.534872131E0
1.074358833E0,8.416996765E-1,9.696835327E-1,9.053323517E0
1.084398833E0,7.867639160E-1,1.422192535E0,9.188492432E0
1.094439833E0,7.068301392E-1,1.505718842E0,9.491911469E0
1.104479833E0,6.236032104E-1,9.105564880E-1,9.970017242E0
1.114519833E0,6.837780762E-1,8.333171082E-1,9.975106659E0
1.124560833E0,7.042854309E-1,1.377136230E0,9.757908325E0
1.134600833E0,7.364685059E-1,1.397194519E0,9.833800507E0
1.144640833E0,8.090675354E-1,1.005758514E0,9.934091949E0
1.154680833E0,1.088087311E0,1.309327240E0,9.625284119E0
1.164721833E0,1.023272095E0,1.472188568E0,9.256002045E0
1.174761833E0,9.015751648E-1,1.102906494E0,9.466913452E0
1.184801833E0,1.078357544E0,1.195264435E0,9.710906067E0
1.194842833E0,1.025667114E0,1.204245758E0,9.545050964E0
1.204882833E0,1.100511475E0,1.369053040E0,9.716444550E0
1.214922833E0,1.163380737E0,1.071022797E0,9.126371613E0
