"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.535950000E-1,-3.754358366E-2,-7.545055449E-2,2.034817263E-2
1.636360000E-1,-2.156541310E-2,-4.886874557E-2,2.273596451E-2
1.736760000E-1,-1.355020143E-2,-1.253522187E-2,3.101740591E-2
1.837160000E-1,-2.275941335E-2,3.600870725E-3,2.875105664E-2
1.937560000E-1,-2.756070904E-2,1.660924777E-2,2.731889859E-2
2.037970000E-1,-7.055168506E-3,5.012007058E-2,3.068486601E-2
2.138370000E-1,4.260289017E-3,1.362406649E-2,1.722451113E-2
2.238770000E-1,9.033738635E-3,1.054358855E-2,1.798058301E-2
2.339180000E-1,7.953868248E-3,-1.604585908E-2,2.441050857E-2
2.439580000E-1,2.509024367E-2,5.311361980E-3,3.255365789E-2
2.539980000E-1,2.122332714E-2,-2.460528538E-2,3.498501703E-2
2.640380000E-1,2.366225049E-2,-2.510782517E-2,3.120039776E-2
2.740790000E-1,2.110087685E-2,-5.285778642E-2,1.632897370E-2
2.841190000E-1,2.227666229E-2,-6.618078798E-2,1.380429696E-2
2.941590000E-1,2.402520552E-2,-8.904854953E-2,3.236416727E-3
3.042000000E-1,3.384348005E-2,-3.583806008E-2,1.975760236E-2
3.142400000E-1,1.651733369E-2,-5.424459279E-2,2.474680170E-2
3.242800000E-1,2.243567444E-2,-4.431313276E-2,3.642209992E-2
3.343200000E-1,2.939771116E-2,-4.496667162E-2,2.130786143E-2
3.443910000E-1,2.792738006E-2,-6.352384388E-2,9.977708571E-3
3.544320000E-1,4.156523943E-2,-3.823561594E-2,1.588058844E-2
3.644720000E-1,2.625498921E-2,-8.355995268E-2,2.405196801E-2
3.745120000E-1,1.924155653E-2,-8.551018685E-2,2.628049999E-2
3.845520000E-1,2.456415072E-2,-5.052930117E-2,2.193901502E-2
3.945930000E-1,3.457002714E-2,-1.296684146E-2,-2.696523443E-3
4.046330000E-1,2.590250410E-2,-9.309789166E-3,-6.218020804E-3
4.146730000E-1,1.939407922E-2,5.214043707E-2,1.670086011E-2
4.247130000E-1,6.555246189E-3,5.921912193E-2,4.011750221E-2
4.347540000E-1,1.610608399E-2,3.737503290E-2,3.941796347E-2
4.447940000E-1,1.608770899E-2,2.093267441E-2,1.259513944E-2
4.548518333E-1,1.747201942E-2,-2.373180352E-3,-1.302420441E-2
4.648928333E-1,5.045710132E-3,-2.222145349E-2,-1.383140776E-2
4.749328333E-1,6.578340195E-3,-5.305887014E-2,-1.243889984E-2
4.849728333E-1,2.248673327E-2,-9.989161044E-3,1.152102835E-2
4.950128333E-1,2.197246626E-2,3.128808923E-3,1.481489278E-2
5.050538333E-1,1.985391974E-2,-3.114554286E-2,3.290063702E-3
5.150938333E-1,3.223498538E-2,-3.188739717E-2,-1.387188863E-2
5.251338333E-1,3.464594483E-2,-6.098802388E-2,-2.696505561E-2
5.351748333E-1,4.223772138E-2,-4.972314835E-2,-2.240489796E-2
5.452148333E-1,5.385097116E-2,-4.315099865E-2,-1.415335946E-2
5.552548333E-1,5.691034347E-2,-4.463537037E-2,-1.216449402E-2
5.652948333E-1,6.965596974E-2,-6.382104754E-2,-1.226675883E-2
5.753358333E-1,7.432738692E-2,-5.402684584E-2,-4.497510381E-3
5.853758333E-1,8.174403012E-2,-1.056006178E-2,1.388549060E-2
5.954158333E-1,7.837921381E-2,-7.705122232E-3,-6.470672786E-3
6.054568333E-1,6.998652965E-2,9.925536811E-3,-2.568458021E-2
6.154968333E-1,7.135927677E-2,2.456974238E-2,-3.555707633E-2
6.255368333E-1,5.909914151E-2,1.809266955E-2,-1.489227824E-2
6.355768333E-1,5.650431663E-2,3.546751663E-2,1.001203991E-2
6.456178333E-1,3.906753659E-2,3.582065180E-2,2.673562616E-2
6.556578333E-1,3.894478828E-2,2.931253053E-2,2.403091080E-2
6.656978333E-1,2.680023760E-2,-7.515259087E-3,4.725656472E-3
6.757388333E-1,2.251966484E-2,-2.544373460E-2,-9.364919737E-3
6.857788333E-1,8.417961188E-3,-4.170419648E-2,-1.620391756E-2
6.958188333E-1,7.546610199E-3,-1.600060239E-2,-4.900405183E-3
7.058588333E-1,7.896282710E-3,1.609016676E-3,9.177330881E-3
7.158998333E-1,3.622759366E-3,-1.962974668E-2,1.005988382E-2
7.259398333E-1,-1.756615005E-2,-3.368537873E-2,7.758646738E-3
7.359798333E-1,-6.165001076E-3,-2.057824656E-2,4.938126542E-3
7.460208333E-1,-3.760698717E-3,1.437014900E-2,-1.575432718E-3
7.560608333E-1,-1.590661146E-2,-1.484934986E-2,-7.369129919E-3
7.661318333E-1,-1.906378940E-2,-7.962948643E-3,-5.483879708E-3
7.761718333E-1,-2.031230181E-2,-3.624849021E-2,-5.855115131E-3
7.862118333E-1,-1.790400594E-2,-1.031169854E-2,-1.322414726E-3
7.962518333E-1,-1.247361023E-2,1.643502153E-2,6.286251824E-3
8.062928333E-1,-9.532679804E-3,3.377166763E-2,8.036019281E-4
8.163328333E-1,-1.109384932E-2,2.763297223E-2,5.628726911E-3
8.263728333E-1,-7.930090651E-4,2.965857275E-2,-4.272905178E-3
8.364138333E-1,-6.151613779E-4,2.796778828E-2,-6.289968267E-3
8.464538333E-1,-7.291973103E-3,2.768469602E-2,-1.433617622E-2
8.564938333E-1,-6.471186411E-3,2.449912019E-3,-1.198274083E-2
8.665338333E-1,-1.311497390E-2,-1.250320487E-2,-1.822249033E-3
8.765748333E-1,-1.269877329E-2,-3.950627148E-2,4.314489663E-3
8.866148333E-1,-2.525291592E-2,-4.792026430E-2,3.224191256E-3
8.966548333E-1,-1.210485958E-2,-5.010209233E-2,-1.121494453E-2
9.066958333E-1,-1.123560406E-2,-6.021278352E-2,-3.618101403E-2
9.167358333E-1,-8.109635673E-3,-5.993070081E-2,-3.492265195E-2
9.267758333E-1,-1.250837930E-2,-4.058203474E-2,-2.003904432E-2
9.368158333E-1,-1.485310402E-2,-4.164495319E-2,-8.698480204E-3
9.468568333E-1,-1.180751342E-2,-3.676630929E-2,-1.331320591E-2
9.568968333E-1,1.381358597E-3,-3.688279167E-2,-2.501596697E-2
9.669368333E-1,-8.224131539E-3,-3.981067240E-2,-3.016359173E-2
9.769778333E-1,-1.572186872E-2,-2.637502737E-2,-3.402175754E-2
9.870178333E-1,-1.338387746E-2,-1.001842506E-2,-3.410644457E-2
9.970578333E-1,-6.947672460E-3,4.203130491E-3,-4.168752581E-2
1.007097833E0,-2.986763418E-2,-1.727446541E-2,-4.352324083E-2
1.017138833E0,-2.999690175E-2,-1.553478930E-2,-3.901644051E-2
1.027178833E0,-2.571134269E-2,-1.582986861E-2,-3.688351065E-2
1.037218833E0,-2.981572971E-2,-1.437679585E-2,-3.588645160E-2
1.047259833E0,-2.066883631E-2,-3.523041308E-2,-5.072957650E-2
1.057299833E0,-3.467243165E-2,-6.573715806E-2,-6.130227447E-2
1.067339833E0,-2.083544247E-2,-7.303927839E-2,-5.995391309E-2
1.077379833E0,-1.520211622E-2,-7.939579338E-2,-5.336453021E-2
1.087420833E0,7.283804007E-4,-5.132128298E-2,-5.033038929E-2
1.097460833E0,-1.789067686E-2,-7.708060741E-2,-5.329978094E-2
1.107500833E0,-9.167490527E-3,-5.792342126E-2,-5.698479339E-2
1.117541833E0,-7.207248360E-3,-5.927446485E-2,-6.349538267E-2
1.127581833E0,-6.304437295E-3,-3.800699115E-2,-6.616626680E-2
1.137621833E0,3.108614823E-3,-3.076063655E-2,-6.318666041E-2
1.147661833E0,-2.982301172E-3,-4.522108939E-3,-5.880974978E-2
1.157702833E0,-7.501615677E-3,-3.177138418E-2,-5.479810387E-2
1.167742833E0,9.704325348E-4,-4.546003416E-2,-5.618480593E-2
1.177782833E0,3.885617480E-4,-9.126150981E-3,-5.489947274E-2
1.187853833E0,6.173271686E-4,-2.270907164E-2,-6.491641700E-2
1.197893833E0,-1.354702376E-2,-1.921347342E-2,-6.923071295E-2
1.207934833E0,-3.480008338E-3,-1.128604263E-2,-6.814014912E-2
1.217974833E0,-4.581202753E-3,-1.607749239E-2,-6.088118255E-2
1.228014833E0,7.685553282E-4,-1.073039882E-2,-6.175789237E-2
1.238054833E0,1.079869457E-3,-4.656616598E-2,-6.551891565E-2
1.248095833E0,-8.306175470E-3,-3.472921625E-2,-6.756981462E-2
1.258135833E0,-6.101233885E-4,-6.384532154E-2,-6.612069905E-2
1.268175833E0,-3.171818331E-3,-8.424566686E-2,-6.696411967E-2
1.278216833E0,1.513982657E-2,-4.917464778E-2,-7.852838188E-2
1.288256833E0,-7.285853848E-3,-4.436125234E-2,-8.215374500E-2
1.298296833E0,-2.475856058E-2,-4.109797627E-2,-8.270622045E-2
1.308336833E0,-1.588677242E-2,-4.024377093E-3,-6.623483449E-2
1.318377833E0,-2.152022347E-2,-5.379189737E-3,-4.840721190E-2
1.328417833E0,-5.760700908E-3,-1.459825411E-2,-6.355553865E-2
1.338457833E0,3.862743732E-3,-3.515198082E-2,-9.225688130E-2
1.348498833E0,-2.697687596E-3,-3.640047088E-2,-9.863248467E-2
1.358538833E0,-3.984888084E-3,-3.334094211E-2,-8.576695621E-2
1.368578833E0,1.148328371E-2,1.199697703E-2,-6.760393083E-2
1.378618833E0,2.336613834E-2,6.003551930E-2,-5.382907018E-2
1.388659833E0,-1.600390673E-2,3.517117817E-3,-6.276876479E-2
1.398699833E0,-1.100762002E-2,3.651408479E-3,-7.124742121E-2
1.408739833E0,-8.216894232E-3,-8.128818125E-3,-8.808472753E-2
1.418780833E0,3.507980146E-3,-1.154183038E-2,-8.921486139E-2
1.428820833E0,-4.726780578E-3,-3.474515304E-2,-8.199902624E-2
1.438860833E0,-2.000486851E-2,-6.743153930E-2,-7.489326596E-2
1.448900833E0,-2.875867859E-2,-7.957342267E-2,-6.767584383E-2
1.458951958E0,-9.003233165E-3,-5.744039640E-2,-4.998773336E-2
1.468991958E0,-1.224110369E-2,-7.202791981E-3,-6.553180516E-2
1.479031958E0,-1.917491108E-2,-2.679779753E-2,-8.511802554E-2
1.489072958E0,-3.474641219E-2,-2.769501880E-2,-9.117937088E-2
1.499112958E0,-4.437221214E-2,-2.551555447E-2,-8.157304674E-2
1.509152958E0,-3.450733051E-2,9.490759112E-4,-5.251023918E-2
1.519192958E0,-3.082904592E-2,2.656062879E-2,-3.232607991E-2
1.529233958E0,-2.306247130E-2,3.827374429E-2,-3.569711000E-2
1.539273958E0,-2.365080453E-2,5.778398737E-2,-4.789213091E-2
1.549313958E0,-3.365310282E-2,2.790704556E-2,-7.357272506E-2
1.559354958E0,-1.980352774E-2,4.175686464E-2,-7.215742022E-2
1.569394958E0,-8.303730749E-3,3.324140981E-2,-6.192767993E-2
1.579434958E0,-6.358935032E-3,3.947798163E-2,-3.983125836E-2
1.589474958E0,-1.774714515E-2,3.815327771E-3,-3.346523643E-2
1.599515958E0,-2.311407588E-2,-2.162718773E-2,-4.767605662E-2
1.609585958E0,-1.007923484E-2,-4.587713256E-2,-6.882555038E-2
1.619626958E0,-2.490903717E-3,-5.171751976E-2,-7.907119393E-2
1.629666958E0,-9.432528168E-5,-6.034189463E-2,-7.800113410E-2
1.639706958E0,1.136642415E-3,-3.614033014E-2,-5.712253973E-2
1.649747958E0,-7.587873377E-3,-1.265897229E-2,-4.609705135E-2
1.659787958E0,-1.755265519E-2,-2.830581740E-2,-5.723568797E-2
1.669827958E0,-4.681332037E-3,-1.077768952E-2,-7.205112278E-2
1.679867958E0,-3.764989320E-3,-9.130356833E-3,-8.212713897E-2
1.689908958E0,9.955616668E-3,1.426071860E-2,-8.022670448E-2
1.699948958E0,1.297567040E-2,3.486371040E-2,-6.785316020E-2
1.709988958E0,2.262838650E-3,4.249260575E-2,-6.179153919E-2
1.720029958E0,-7.627359591E-4,3.758982569E-2,-5.916570500E-2
1.730069958E0,1.006168220E-2,2.556671947E-2,-6.771337986E-2
1.740109958E0,1.062547974E-2,1.531341299E-2,-7.592338324E-2
1.750149958E0,2.327656001E-2,1.298234798E-2,-7.228976488E-2
1.760190958E0,1.694806851E-2,-3.552669194E-3,-6.791897118E-2
