"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.898142374E1,4.766548806E1,1.764894865E1,1.004740402E2,1.103289223E1,-1.000000000E0,3.200000000E1,3.200000000E1
4.999321556E1,4.766539319E1,1.764909654E1,1.004740402E2,1.077031326E1,-1.000000000E0,1.600000000E1,1.600000000E1
5.099330008E1,4.766531649E1,1.764911193E1,1.004740402E2,9.502500534E0,-1.000000000E0,1.600000000E1,1.600000000E1
5.199207819E1,4.766522530E1,1.764914238E1,1.004740402E2,9.121319771E0,-1.000000000E0,1.600000000E1,1.600000000E1
5.299215460E1,4.766512802E1,1.764917462E1,1.206986991E2,9.121319771E0,-1.000000000E0,1.600241655E1,1.600241655E1
5.399222422E1,4.766512202E1,1.764923466E1,1.147984035E2,-1.000000000E0,-1.000000000E0,1.200181241E1,1.200181241E1
5.488928616E1,4.766510118E1,1.764925283E1,1.213011088E2,-1.000000000E0,-1.000000000E0,1.200181241E1,1.200181241E1
5.588935101E1,4.766508194E1,1.764929281E1,1.203627899E2,2.231911659E0,1.411301907E2,1.200181241E1,1.200181241E1
5.688941467E1,4.766503767E1,1.764925731E1,1.162308398E2,6.670848846E0,1.610606689E2,1.200181241E1,1.200181241E1
5.788947296E1,4.766492402E1,1.764938186E1,1.163740834E2,6.670848846E0,1.603274536E2,8.001208274E0,8.001208274E0
5.888953006E1,4.766487755E1,1.764940347E1,1.164486815E2,6.378682613E0,1.603274536E2,8.001208274E0,8.001208274E0
5.988958383E1,4.766481499E1,1.764944039E1,1.165801083E2,6.068776131E0,1.586358185E2,8.001208274E0,8.001208274E0
6.088963532E1,4.766475338E1,1.764947747E1,1.167462631E2,5.485270500E0,1.558313293E2,8.001208274E0,8.001208274E0
6.188968420E1,4.766468762E1,1.764951967E1,1.169312166E2,6.135673523E0,1.546113739E2,8.001208274E0,8.001208274E0
6.288973093E1,4.766463398E1,1.764954590E1,1.170977939E2,6.135673523E0,1.546113739E2,8.001208274E0,8.001208274E0
6.388981426E1,4.766457165E1,1.764957945E1,1.172069290E2,6.765826702E0,1.546113739E2,8.001208274E0,8.001208274E0
6.488985813E1,4.766451334E1,1.764961057E1,1.172756032E2,6.786236763E0,1.546113739E2,8.001208274E0,8.001208274E0
6.588984430E1,4.766445409E1,1.764964445E1,1.173185470E2,6.786236763E0,1.557217255E2,6.000906205E0,6.000906205E0
6.688982761E1,4.766440181E1,1.764967442E1,1.173453770E2,6.263771534E0,1.557217255E2,8.001208274E0,8.001208274E0
6.788982093E1,4.766435370E1,1.764970252E1,1.173621225E2,5.464051723E0,1.557217255E2,8.001208274E0,8.001208274E0
6.888981438E1,4.766430822E1,1.764974403E1,1.173725862E2,5.464051723E0,1.557217255E2,8.001208274E0,8.001208274E0
6.988981855E1,4.766425159E1,1.764978166E1,1.173791257E2,6.774320126E0,1.557217255E2,8.001208274E0,8.001208274E0
7.088982236E1,4.766419250E1,1.764982788E1,1.173832129E2,7.544034004E0,1.557217255E2,6.000906205E0,6.000906205E0
7.188980639E1,4.766412912E1,1.764987454E1,1.173857502E2,7.544034004E0,1.489578552E2,6.000906205E0,6.000906205E0
7.288978994E1,4.766407136E1,1.764991325E1,1.173873497E2,7.916579723E0,1.489578552E2,6.000906205E0,6.000906205E0
7.388980234E1,4.766398244E1,1.764998237E1,1.173883474E2,8.704053879E0,1.554663696E2,6.000906205E0,6.000906205E0
7.488981605E1,4.766390493E1,1.765004348E1,1.173889690E2,1.002789593E1,1.554663696E2,6.000906205E0,6.000906205E0
7.588983011E1,4.766381896E1,1.765010176E1,1.173893470E2,1.049222565E1,1.586973419E2,6.000906205E0,6.000906205E0
7.688984537E1,4.766372371E1,1.765015651E1,1.173895908E2,1.049222565E1,1.586973419E2,6.000906205E0,6.000906205E0
7.788985908E1,4.766363061E1,1.765022372E1,1.173897388E2,1.088992119E1,1.586973419E2,8.001208274E0,8.001208274E0
7.888987386E1,4.766353360E1,1.765027394E1,1.173898360E2,1.085133934E1,1.586973419E2,8.001208274E0,8.001208274E0
7.988988793E1,4.766344058E1,1.765032579E1,1.173899007E2,1.085133934E1,1.586973419E2,8.001208274E0,8.001208274E0
8.088990259E1,4.766335033E1,1.765037951E1,1.173899346E2,1.017307663E1,1.586973419E2,8.001208274E0,8.001208274E0
8.188991690E1,4.766326001E1,1.765042888E1,1.173899517E2,1.017307663E1,1.586973419E2,8.001208274E0,8.001208274E0
8.288993239E1,4.766317260E1,1.765048426E1,1.173899672E2,1.072948170E1,1.577121887E2,8.001208274E0,8.001208274E0
8.388994682E1,4.766308228E1,1.765053672E1,1.173899824E2,1.072974586E1,1.577121887E2,6.000906205E0,6.000906205E0
8.488996172E1,4.766299195E1,1.765059039E1,1.173899840E2,1.072948170E1,1.577121887E2,6.000906205E0,6.000906205E0
8.588997722E1,4.766290372E1,1.765064531E1,1.173899841E2,1.072292995E1,1.577121887E2,6.000906205E0,6.000906205E0
