"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.889336667E-1,-1.187352277E-2,-9.433830157E-3,-1.949242130E-2
9.989746667E-1,-1.068335958E-2,-6.329446100E-3,-2.450840920E-2
1.008983667E0,-1.685363799E-2,-1.893951371E-2,-2.482692525E-2
1.019024667E0,-1.530949026E-2,-2.309660055E-2,-2.315348201E-2
1.029064667E0,-8.649723604E-3,-1.443333738E-2,-2.239022218E-2
1.039104667E0,-1.346028782E-2,7.684312761E-3,-1.937001012E-2
1.049144667E0,-1.612957567E-2,1.352356002E-2,-1.749514602E-2
1.059185667E0,-6.264352240E-3,1.025891118E-2,-1.303373463E-2
1.069225667E0,5.738248117E-3,1.662040502E-2,-1.614936627E-2
1.079265667E0,4.583985545E-3,8.475007489E-3,-2.176553197E-2
1.089306667E0,5.943262950E-3,3.176914528E-2,-2.373414300E-2
1.099346667E0,7.195114158E-4,2.648369223E-2,-2.437897958E-2
1.109386667E0,2.981068101E-3,5.389533937E-2,-2.079436369E-2
1.119426667E0,-6.219369359E-3,7.123938203E-2,-4.374912009E-3
1.129467667E0,-2.417440526E-3,6.691520661E-2,-7.380289957E-3
1.139507667E0,1.561394893E-3,3.282717243E-2,-1.226923242E-2
1.149547667E0,4.329218529E-3,1.793823764E-2,-1.882593520E-2
1.159588667E0,9.338192642E-3,-3.999312874E-3,-2.911851555E-2
1.169628667E0,1.855379529E-2,-9.048399515E-3,-3.430848196E-2
1.179668667E0,1.925958320E-2,-1.603456959E-2,-2.476469055E-2
1.189708667E0,1.685421541E-2,-8.324463852E-4,-8.802769706E-3
1.199749667E0,1.484385319E-2,-1.227116119E-2,-1.975919493E-2
1.209789667E0,1.858000085E-2,-1.334148552E-2,-2.815880440E-2
1.219829667E0,1.062227879E-2,-8.909244090E-3,-3.001253493E-2
1.229870667E0,8.901610970E-3,-2.086758614E-3,-2.724231593E-2
1.239909000E0,5.363899283E-3,2.162087243E-3,-2.825307287E-2
1.249949000E0,6.459257565E-3,-9.761417285E-3,-2.865121700E-2
