"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,5.355862427E-1,4.261637878E-1,9.950557709E0
1.001000000E-2,7.005432129E-1,5.095404053E-1,9.968520355E0
2.002000000E-2,4.906796265E-1,5.170248413E-1,9.956694946E0
3.006000000E-2,5.761518860E-1,5.677693176E-1,9.673334198E0
4.010000000E-2,5.034031677E-1,4.790039062E-1,9.646240540E0
5.014000000E-2,4.695735168E-1,4.014651489E-1,9.795629883E0
6.015000000E-2,5.682183838E-1,4.721182251E-1,9.788594513E0
7.019000000E-2,4.643344116E-1,6.201603699E-1,9.769733734E0
8.023100000E-2,4.089495850E-1,5.402265930E-1,9.660011902E0
9.027100000E-2,4.275109863E-1,5.511538696E-1,9.616602173E0
1.003110000E-1,3.962260437E-1,5.689668274E-1,9.562414856E0
1.103520000E-1,4.355941772E-1,5.414241028E-1,9.595945129E0
1.203920000E-1,3.273692322E-1,5.626799011E-1,9.612111511E0
1.304320000E-1,2.342628479E-1,5.653742981E-1,9.539811859E0
1.404720000E-1,3.052153015E-1,5.650749207E-1,9.526639252E0
1.505130000E-1,2.411485291E-1,5.141807556E-1,9.583970032E0
1.605530000E-1,2.624043274E-1,4.846920776E-1,9.723479919E0
1.705930000E-1,2.978805542E-1,5.520520020E-1,9.733359375E0
1.806030000E-1,2.951861572E-1,5.505551147E-1,9.595645752E0
1.906430000E-1,4.360432434E-1,3.528163147E-1,9.532177734E0
2.006840000E-1,2.444416809E-1,3.073109436E-1,9.597442017E0
2.107240000E-1,6.391708374E-2,3.499722290E-1,9.602830811E0
2.207640000E-1,2.559677124E-2,4.314028931E-1,9.821975098E0
2.308040000E-1,1.475930786E-1,5.641767883E-1,9.800569611E0
2.408450000E-1,4.535568237E-1,3.339555359E-1,9.861343231E0
2.508850000E-1,5.378315735E-1,3.881428528E-1,1.003857468E1
2.609250000E-1,2.731819153E-1,4.635859680E-1,9.974807281E0
2.709660000E-1,8.756790161E-2,4.909790039E-1,1.003138962E1
2.810060000E-1,-5.343887329E-2,4.025129700E-1,9.841434631E0
2.910460000E-1,1.492396545E-1,4.266128540E-1,9.593550110E0
3.010860000E-1,2.242337036E-1,5.393284607E-1,9.601184235E0
3.110960000E-1,3.248245239E-1,6.116281128E-1,9.666897583E0
3.211360000E-1,2.053729248E-1,7.894583130E-1,9.745633850E0
3.311770000E-1,1.008901978E-1,7.135661316E-1,9.507329407E0
3.412170000E-1,8.966354370E-2,6.167175293E-1,9.317374420E0
3.512570000E-1,6.242019653E-2,7.158114624E-1,9.329798584E0
3.612980000E-1,1.275347900E-1,7.711962891E-1,9.569599915E0
3.713380000E-1,1.046324158E-1,7.265890503E-1,9.899663544E0
3.813780000E-1,8.472381592E-2,8.851094055E-1,9.747579803E0
3.914180000E-1,2.004331970E-1,7.192543030E-1,9.469158783E0
4.014590000E-1,9.220825195E-2,8.310717773E-1,9.347461853E0
4.114990000E-1,2.245330811E-2,9.086105347E-1,9.546098785E0
4.215390000E-1,3.248245239E-2,8.777746582E-1,9.926008759E0
4.315800000E-1,2.887495422E-1,8.283773804E-1,9.971514130E0
4.415890000E-1,3.788621521E-1,6.996450806E-1,9.864486694E0
4.516300000E-1,3.126997375E-1,9.765692139E-1,9.842332764E0
4.616700000E-1,3.787124634E-2,9.589059448E-1,9.689500580E0
4.717100000E-1,9.490264893E-2,7.276368713E-1,9.690997467E0
4.817500000E-1,1.815724182E-1,6.183641052E-1,9.478289795E0
4.917910000E-1,3.930825806E-1,8.012837219E-1,9.381740570E0
5.018310000E-1,2.324665833E-1,8.861572266E-1,9.802964630E0
5.118710000E-1,2.134561157E-1,7.735913086E-1,9.916129303E0
5.219120000E-1,1.457968140E-1,7.599696350E-1,9.717192993E0
5.319520000E-1,1.737886047E-1,8.129594421E-1,9.471404114E0
5.419920000E-1,1.770817566E-1,8.220904541E-1,9.514963531E0
5.520320000E-1,1.571731567E-1,8.131091309E-1,9.824819183E0
5.620730000E-1,1.989363098E-1,7.575746155E-1,9.854756927E0
5.720830000E-1,2.091151428E-1,7.059320068E-1,9.523346100E0
5.821230000E-1,3.302133179E-1,7.396119690E-1,9.342821503E0
5.921630000E-1,3.487747192E-1,8.921447754E-1,9.624835052E0
6.022030000E-1,3.212319946E-1,9.999206543E-1,9.893825684E0
6.122440000E-1,1.631607056E-1,6.753955078E-1,9.950408020E0
6.222840000E-1,5.224136353E-2,6.524931335E-1,9.813592529E0
6.323240000E-1,7.933502197E-3,8.253836060E-1,9.835297394E0
6.423640000E-1,9.550140381E-2,8.580157471E-1,1.011207184E1
6.524050000E-1,7.978408813E-2,7.414082336E-1,1.024724075E1
6.624450000E-1,5.553451538E-2,6.575825500E-1,9.886191559E0
6.724850000E-1,8.876541138E-2,7.355703735E-1,9.459279327E0
6.825260000E-1,-1.182540894E-1,8.478369141E-1,9.292526093E0
6.925660000E-1,-1.073268127E-1,7.969427490E-1,9.429790649E0
7.025760000E-1,-3.712280273E-2,6.731501770E-1,9.623637543E0
7.126160000E-1,2.661465454E-1,6.685098267E-1,9.493857422E0
7.226560000E-1,3.713777161E-1,6.942562866E-1,9.359287262E0
7.326970000E-1,2.234852600E-1,6.330335999E-1,9.415420532E0
7.427370000E-1,8.083190918E-3,6.366261292E-1,9.581125946E0
7.527770000E-1,5.598358154E-2,6.658154297E-1,9.636959839E0
7.628170000E-1,3.004252625E-1,7.092251587E-1,9.676178284E0
7.728580000E-1,5.134323120E-1,7.607180786E-1,9.724677429E0
7.828980000E-1,3.321592712E-1,7.879614258E-1,9.969568176E0
7.929380000E-1,2.257305908E-1,7.608677673E-1,9.888436890E0
8.029790000E-1,1.272354126E-1,6.201603699E-1,9.641600189E0
8.130190000E-1,3.981719971E-2,8.044271851E-1,9.374705200E0
8.230590000E-1,9.475296021E-2,8.355624390E-1,9.506730652E0
8.330690000E-1,1.993853760E-1,8.634045410E-1,9.844428406E0
8.431090000E-1,2.457888794E-1,8.321195984E-1,9.920919342E0
8.531490000E-1,1.913021851E-1,8.502319336E-1,9.856553192E0
8.631900000E-1,-7.214996338E-2,9.006770325E-1,9.807604980E0
8.732300000E-1,-2.194436646E-1,7.836204529E-1,9.621541901E0
8.832700000E-1,-2.634521484E-1,7.682025146E-1,9.547296295E0
8.933037917E-1,-1.821711731E-1,8.578660583E-1,9.626781006E0
9.033437917E-1,-1.871109009E-1,9.479786682E-1,9.840985565E0
9.133837917E-1,-1.740879822E-1,8.418493652E-1,9.951605530E0
9.234237917E-1,-2.796185303E-1,7.798782349E-1,9.859397278E0
9.334647917E-1,-3.656895447E-1,7.891589355E-1,9.808652802E0
9.435047917E-1,-3.736230469E-1,7.723937988E-1,9.901010742E0
9.535447917E-1,-2.769241333E-1,7.704478455E-1,1.008273285E1
9.635857917E-1,-4.206253052E-2,6.497987366E-1,1.020173538E1
9.735947917E-1,8.681945801E-3,7.500901794E-1,1.031894165E1
9.836357917E-1,-1.122665405E-2,6.532415771E-1,1.031415161E1
9.936757917E-1,-2.659968567E-1,5.843847656E-1,1.036474640E1
1.003715792E0,-2.195933533E-1,6.280938721E-1,1.018571869E1
1.013755792E0,-1.745370483E-1,6.761439514E-1,1.010563522E1
1.023796792E0,-5.284011841E-2,7.577243042E-1,1.008153534E1
1.033836792E0,-2.284249878E-1,7.292834473E-1,1.006042923E1
1.043876792E0,-3.733236694E-1,6.143225098E-1,9.949809265E0
1.053917792E0,-3.174897766E-1,6.385720825E-1,9.847571869E0
1.063957792E0,-3.025209045E-1,8.747808838E-1,9.681716766E0
1.073997792E0,-2.079176331E-1,7.713459778E-1,9.706265717E0
1.084037792E0,-2.371069336E-1,7.063810730E-1,9.886640625E0
1.094078792E0,-2.115101624E-1,9.090596008E-1,9.636959839E0
1.104087792E0,-3.336561584E-1,9.430389404E-1,9.597891083E0
1.114128792E0,-2.695893860E-1,7.876620483E-1,9.754166107E0
1.124168792E0,-1.431024170E-1,7.315287781E-1,9.925410004E0
1.134208792E0,-1.335223389E-1,8.544232178E-1,9.990374908E0
1.144249792E0,-1.077758789E-1,8.649014282E-1,9.832602997E0
1.154289792E0,-2.296224976E-1,9.735754395E-1,9.720186768E0
1.164329792E0,-1.002914429E-1,7.900570679E-1,9.704170074E0
1.174369792E0,-1.916015625E-1,6.680607605E-1,1.000624191E1
1.184410792E0,-2.077679443E-1,7.315287781E-1,1.007854156E1
