"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.767359602E1,1.767641658E1,1.161502228E2,-1.000000000E0,-1.000000000E0,2.061973587E2,2.061973587E2
1.006793976E-2,4.767333100E1,1.767655059E1,1.161256027E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.006793976E-2,4.767332785E1,1.767655217E1,1.161088104E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
5.023239851E-1,4.767332010E1,1.767671530E1,1.160956192E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.700048923E0,4.767331663E1,1.767676375E1,1.160837479E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.863680005E0,4.767316216E1,1.767662635E1,1.234156311E2,9.383738518E0,-1.000000000E0,1.600000000E1,1.600000000E1
2.863670826E0,4.767306743E1,1.767657582E1,1.028286438E2,1.004906368E1,-1.000000000E0,1.600000000E1,1.600000000E1
3.863662720E0,4.767298947E1,1.767650388E1,1.029976685E2,1.004906368E1,-1.000000000E0,2.400000000E1,2.400000000E1
4.863654256E0,4.767292490E1,1.767639632E1,1.030747513E2,1.008616638E1,-1.000000000E0,1.600000000E1,1.600000000E1
5.863645911E0,4.767284894E1,1.767629558E1,1.031143295E2,1.090932083E1,-1.000000000E0,1.600000000E1,1.600000000E1
6.863637924E0,4.767276863E1,1.767619651E1,1.031372772E2,1.180760002E1,-1.000000000E0,1.600000000E1,1.600000000E1
7.681416512E0,4.767268705E1,1.767609768E1,1.031512024E2,1.220709896E1,-1.000000000E0,1.600000000E1,1.600000000E1
8.681408763E0,4.767260451E1,1.767596142E1,1.163238866E2,1.180760002E1,-1.000000000E0,1.600241655E1,1.600241655E1
9.669667125E0,4.767261829E1,1.767590465E1,1.177569049E2,1.178299427E1,6.354218473E0,1.600241655E1,1.600241655E1
1.051766109E1,4.767262273E1,1.767587565E1,1.192209084E2,1.152110100E1,3.478149799E2,1.600241655E1,1.600241655E1
1.172730112E1,4.767262794E1,1.767579539E1,1.193693961E2,4.206250191E0,3.137511599E2,1.600241655E1,1.600241655E1
1.272729433E1,4.767257753E1,1.767570645E1,1.193856731E2,6.234926701E0,2.302215800E2,1.600241655E1,1.600241655E1
1.381508636E1,4.767245472E1,1.767563636E1,1.193881660E2,6.234926701E0,2.144083397E2,1.200181241E1,1.200181241E1
1.481508040E1,4.767233938E1,1.767554348E1,1.193889509E2,1.106650829E1,2.189385583E2,1.200181241E1,1.200181241E1
1.582071328E1,4.767223690E1,1.767544686E1,1.193893590E2,1.181617355E1,2.184832442E2,1.200181241E1,1.200181241E1
1.682070637E1,4.767209478E1,1.767530825E1,1.193896058E2,1.250630856E1,2.184254150E2,8.001208274E0,8.001208274E0
1.783136559E1,4.767202607E1,1.767525841E1,1.194186755E2,1.250630856E1,2.205247955E2,8.001208274E0,8.001208274E0
