"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.444700000E-1,-1.285891161E-1,1.429534592E-2,-2.442726964E-1
1.545100000E-1,-2.429636510E-1,-1.758122530E-2,-1.560598469E-1
1.645510000E-1,-1.734558251E-1,-1.554935440E-2,-3.598318040E-2
1.745910000E-1,-1.989150771E-1,4.806031197E-2,-8.954426050E-2
1.846310000E-1,-5.314029984E-2,-6.240711339E-2,-2.550707495E-1
1.946720000E-1,-5.832005583E-2,-2.097637452E-1,-2.575979161E-1
2.047120000E-1,-3.536674866E-1,-1.686441148E-1,-1.678361392E-1
2.147520000E-1,-3.624197451E-1,-1.744394729E-1,-1.147106767E-1
2.247920000E-1,-4.402870063E-1,-1.279780090E-2,7.254348099E-2
2.348330000E-1,-1.480542412E-1,-5.833233498E-2,-4.287295461E-2
2.448730000E-1,1.889806943E-1,-1.869978669E-1,1.901444364E-1
2.549130000E-1,1.106740148E-1,-1.054006303E-1,2.133789325E-1
2.649230000E-1,-1.214070542E-1,-5.415449940E-2,1.926903141E-1
2.749630000E-1,-3.423829451E-1,-1.953225844E-2,2.243483090E-1
2.850040000E-1,-2.813549341E-1,-6.384366464E-2,-6.526837528E-2
2.950440000E-1,-9.564860746E-2,3.959460352E-2,-2.151290041E-1
3.050840000E-1,6.115633914E-2,1.045098435E-1,-2.001197863E-1
3.151250000E-1,4.586144825E-2,2.140796847E-1,-8.013959885E-2
3.251650000E-1,-3.963078316E-2,3.573738173E-1,-1.175799054E-1
3.352050000E-1,-2.574362406E-1,2.291238397E-1,-3.682991570E-1
3.452450000E-1,-1.620038705E-1,2.076293653E-1,-5.186567992E-1
3.552860000E-1,-1.782309903E-1,3.062558135E-1,-4.339943790E-1
3.653260000E-1,-9.835325534E-2,2.995109772E-1,-7.898068070E-2
3.753660000E-1,-1.151837712E-1,3.538981958E-1,1.388321954E-1
3.854060000E-1,-1.121122471E-1,3.968596992E-1,-1.780465472E-1
3.954160000E-1,-4.441808134E-2,2.443520358E-1,-3.768249822E-1
4.054570000E-1,-2.027472509E-1,3.961874155E-1,-4.579182619E-1
4.154970000E-1,-1.729007964E-1,3.721606217E-1,-6.156357944E-2
4.255370000E-1,-1.371069927E-1,3.440894550E-1,2.315474010E-1
4.355770000E-1,1.870763475E-1,2.496785569E-1,1.206514478E-1
4.456180000E-1,1.279575620E-1,2.154101456E-1,6.297158897E-2
4.556580000E-1,9.157105163E-3,4.850117011E-1,-5.990881741E-2
4.656980000E-1,-1.514644470E-1,2.779085486E-1,-7.031627655E-2
4.757390000E-1,-1.014418826E-1,8.141385332E-2,-1.240422481E-1
4.857790000E-1,1.112909874E-1,8.319838699E-2,-3.716162825E-1
4.958190000E-1,1.203453826E-1,2.668947697E-1,-2.919789594E-1
5.058590000E-1,7.671773516E-2,2.345366438E-1,7.304692626E-2
5.159000000E-1,-5.761535671E-2,1.205581116E-1,8.141078353E-2
5.259090000E-1,2.112489380E-3,1.716831686E-1,-1.386018151E-1
5.359500000E-1,-7.144742042E-2,1.814031413E-1,-3.218377662E-1
5.459900000E-1,-4.521768808E-2,1.851875324E-1,-1.891930944E-1
5.560300000E-1,-3.190058134E-3,1.491399595E-1,6.900708497E-2
5.660710000E-1,4.193403795E-3,9.456804201E-2,-4.753786325E-2
5.761110000E-1,4.518238552E-2,6.364387259E-2,-3.171711034E-1
5.861510000E-1,1.509718922E-1,1.439371801E-1,-3.564100134E-1
5.961910000E-1,1.342851081E-1,3.132966652E-1,-5.822072625E-2
6.062320000E-1,5.768111961E-2,2.331910533E-1,7.094953001E-2
6.162720000E-1,-9.513118370E-2,-4.115116887E-2,1.544629723E-1
6.263120000E-1,-1.280640179E-1,6.994198166E-2,5.673962653E-2
6.363530000E-1,-1.968672908E-1,2.184342889E-1,1.905291831E-1
6.463930000E-1,-6.807989929E-2,1.491235142E-1,4.387610292E-1
6.564030000E-1,-1.480066960E-1,2.212579094E-2,2.671768248E-1
6.664430000E-1,-1.551187558E-1,1.241670862E-2,-9.421969414E-2
6.764830000E-1,-1.683925383E-1,1.217478007E-1,-4.255229330E-1
6.865230000E-1,-3.955335141E-1,1.823744369E-1,-4.262836558E-1
6.965640000E-1,-2.729717444E-1,6.325284004E-2,-2.550222176E-1
7.066040000E-1,-1.887802992E-1,-1.307510510E-2,-2.337371832E-1
7.166440000E-1,1.881991043E-1,1.201675907E-2,-3.860653371E-1
7.266850000E-1,1.284024803E-1,1.729825661E-2,-4.112633282E-1
7.367250000E-1,-3.459591022E-2,-6.252288826E-2,-2.517998171E-1
7.467650000E-1,-1.992510727E-1,-1.546785884E-2,-1.500173342E-1
7.568050000E-1,-2.957251243E-2,-3.686581761E-2,-1.777840072E-1
