"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.656800000E-1,4.969173630E-1,-3.800103625E-1,6.956023157E-1
1.757200000E-1,-1.785909412E-1,-8.652212709E-2,4.665282869E-1
1.857610000E-1,-1.047734798E0,-9.720265120E-3,1.106176257E-2
1.958010000E-1,-1.046440079E0,5.557054885E-2,-8.269424736E-2
2.058410000E-1,-6.458707233E-1,2.521677714E-1,3.579162562E-1
2.158810000E-1,3.073072891E-1,3.199467766E-1,2.739432228E-1
2.259220000E-1,3.814719472E-1,2.438128129E-1,1.156889158E-1
2.359736667E-1,1.401572476E-1,-1.884739965E-1,1.230505604E-1
2.460136667E-1,-2.413574756E-1,-3.513033842E-1,-8.687032878E-2
2.560236667E-1,-5.271969500E-1,-2.259411271E-1,-2.935243785E-1
2.660636667E-1,-2.064344503E-1,1.948233783E-2,-2.818153292E-1
2.761046667E-1,2.236332677E-1,2.741361809E-1,-4.335839045E-1
2.861446667E-1,6.020009646E-1,3.464900294E-1,-6.544870341E-1
2.961846667E-1,1.246822259E-1,2.662499680E-1,-4.518751645E-1
3.062256667E-1,-1.480317842E-1,-1.590792029E-1,-2.251178026E-3
3.162656667E-1,-2.066065777E-1,-1.482133220E-1,5.117015362E-2
3.263056667E-1,-2.525306094E-1,-1.962947571E-1,-1.512224454E-1
3.363456667E-1,1.349052602E-1,-7.967635319E-2,-4.124731171E-1
3.463866667E-1,4.651526929E-1,1.112386000E-1,-2.185765225E-1
3.564266667E-1,5.307527880E-1,4.572120644E-2,2.309644336E-1
3.664666667E-1,-3.079925828E-2,-6.328722898E-2,3.022127563E-1
3.765066667E-1,-1.319557602E-1,-4.844922490E-2,3.003486639E-1
3.865476667E-1,-1.672348444E-1,1.138966346E-1,-1.202503288E-1
3.965876667E-1,1.286752346E-1,-2.137432871E-1,-1.563779354E-1
4.066276667E-1,3.637546279E-1,-1.616417451E-1,-2.708196402E-1
4.166686667E-1,3.722576489E-1,1.780853946E-1,-2.689251423E-1
4.267086667E-1,-3.787561348E-2,1.094918174E-1,-2.477266467E-1
4.367486667E-1,6.111714453E-2,-1.167182085E-1,2.032667577E-2
4.467886667E-1,-5.416909916E-2,-7.138427049E-3,-1.969424093E-1
4.568296667E-1,1.324151320E-2,4.232141599E-2,-2.231075299E-1
4.668696667E-1,1.714463381E-1,-1.169068543E-1,-7.702537179E-2
4.769096667E-1,7.918171529E-2,1.350876385E-1,-1.604265475E-1
4.869506667E-1,2.906169967E-1,1.170355296E-1,-5.985981774E-1
4.969906667E-1,-3.299570636E-1,-2.101222526E-2,-3.158186424E-1
5.070306667E-1,-1.118674681E-1,-1.689078607E-1,-1.813554865E-1
5.170706667E-1,8.875070198E-2,-1.121820848E-1,1.617918724E-1
5.271116667E-1,2.407325727E-1,-1.002767517E-1,3.985660994E-1
5.371516667E-1,2.701905711E-1,-1.634439301E-2,1.681717694E-1
5.471916667E-1,2.450281566E-1,1.873554241E-1,-7.574950933E-2
5.572326667E-1,1.985871031E-1,3.001481775E-2,-3.682219738E-1
5.672726667E-1,4.218624298E-1,-1.424076581E-1,-1.491759199E-1
5.773126667E-1,3.440214811E-1,-2.806948565E-2,2.211989987E-1
5.873526667E-1,6.439449063E-2,-3.518554710E-2,2.615208131E-1
5.973936667E-1,-1.854293513E-1,1.140823933E-1,8.414143324E-2
6.074336667E-1,-1.079503817E-2,7.211382028E-2,-3.566181743E-1
6.174736667E-1,2.147445680E-1,4.936541051E-2,-3.968762541E-1
6.274836667E-1,3.739886075E-1,1.266002588E-2,-1.636471939E-1
6.375236667E-1,4.614472758E-2,2.460954197E-2,7.965077162E-3
6.475646667E-1,3.788332449E-2,9.060041383E-3,-7.003151715E-2
6.576046667E-1,-3.808422386E-1,1.145897124E-2,-1.351776856E-1
6.676446667E-1,-1.248259943E-1,3.357774552E-2,-3.933012664E-2
6.776846667E-1,-4.762465786E-3,7.850837186E-3,1.948514450E-1
6.877256667E-1,-3.210260265E-2,1.449384793E-1,2.113242209E-1
6.977656667E-1,-2.589052074E-2,-1.251831861E-1,8.699253559E-2
7.078056667E-1,6.019865658E-2,-1.750062143E-1,-1.138335943E-2
7.178466667E-1,-8.428204050E-2,-1.264372677E-1,2.256627631E-1
7.278866667E-1,2.517939516E-1,-3.992325358E-2,6.604079247E-2
7.379266667E-1,3.611131483E-1,8.419551998E-3,-1.459815860E-1
7.479666667E-1,7.396883482E-1,7.394772638E-2,-2.906563193E-1
7.580076667E-1,5.754292798E-1,8.283531144E-2,-4.484159517E-1
7.680476667E-1,8.471102513E-2,-1.026888013E-2,-4.424962306E-1
7.780876667E-1,-1.371477222E-2,-9.307539403E-2,-5.937853342E-1
7.881286667E-1,5.361074489E-3,-2.326554483E-1,-6.512839293E-1
7.981686667E-1,4.853425073E-1,-3.547037959E-2,-3.773231649E-1
8.082086667E-1,1.438197242E-1,1.056599543E-1,2.295195866E-1
8.182486667E-1,4.612391515E-2,6.401681531E-2,3.296590018E-1
8.282896667E-1,-2.741782808E-1,-4.372763481E-2,1.395671904E-2
8.383296667E-1,2.095973919E-1,8.475816831E-2,-4.751921064E-1
8.483696667E-1,-4.971611554E-2,-5.640480034E-2,-4.404976523E-1
8.584106667E-1,1.758318046E-1,-6.263782259E-2,-8.846369505E-2
8.684506667E-1,1.063783944E-2,-9.634018689E-2,4.855527878E-2
8.784906667E-1,-1.971631782E-1,-1.320020628E-1,-5.287403226E-2
8.885306667E-1,-1.043225499E-2,1.038693541E-1,-1.898298562E-1
8.985716667E-1,1.857767124E-1,2.753663985E-1,-3.827961588E-1
9.086116667E-1,3.389459517E-1,-4.468723599E-2,-4.430973244E-1
9.186516667E-1,2.971028562E-1,-2.322374089E-1,-3.083669508E-1
9.286926667E-1,4.008280582E-1,8.438230198E-2,-3.393320507E-1
9.387326667E-1,1.334019959E-1,2.351903625E-2,-3.386069959E-1
9.487726667E-1,1.697732852E-1,-2.728548001E-1,-3.553972757E-1
9.588126667E-1,5.500258321E-2,1.106508818E-2,-5.704888576E-1
9.688536667E-1,3.251692904E-1,3.933638316E-1,-5.113249755E-1
9.788936667E-1,3.766626488E-1,3.895266695E-1,6.442929983E-2
9.889336667E-1,4.287463568E-1,-4.245169926E-2,1.979913998E-1
9.989746667E-1,-2.465444858E-1,-3.767639519E-1,-1.055247009E-2
1.008983667E0,3.743694440E-2,9.443213079E-2,-2.723112649E-1
1.019024667E0,4.059794918E-3,2.907519030E-1,-2.379863548E-1
1.029064667E0,1.828104565E-1,-2.298424808E-1,2.704693919E-1
1.039104667E0,2.977340084E-2,-1.140886060E-1,2.711780745E-1
1.049144667E0,1.398356142E-2,1.946013303E-1,6.511693239E-2
1.059185667E0,1.452598568E-1,1.384933858E-1,5.155606985E-2
1.069225667E0,1.618788132E-1,-1.562815660E-1,-8.383913219E-2
1.079265667E0,1.181526036E-1,-2.706532503E-1,-1.177658468E-1
1.089306667E0,-7.662905848E-2,-1.122842284E-1,-3.506165922E-1
1.099346667E0,-6.538703721E-3,5.486277994E-2,-7.501422197E-1
1.109386667E0,2.744036544E-1,2.283191532E-3,-7.030370504E-1
1.119426667E0,7.076154202E-1,-2.260942876E-2,-1.531806779E-1
1.129467667E0,5.596732263E-1,2.115060328E-1,-5.915394187E-2
1.139507667E0,5.047064390E-1,-3.601219721E-1,1.021812630E-1
1.149547667E0,4.271651966E-1,1.903077564E-1,3.214495111E-1
1.159588667E0,-3.869828748E-1,2.036365576E-1,-8.845609367E-2
1.169628667E0,3.179463711E-2,-3.176695054E-1,-3.526648718E-1
1.179668667E0,-2.517426240E-1,-2.575188325E-1,-4.331418550E-1
1.189708667E0,4.015834089E-1,3.906706772E-1,-4.777637118E-1
1.199749667E0,4.784232777E-1,1.045343653E-1,3.875078452E-1
1.209789667E0,6.124474173E-2,-3.073383524E-1,5.557796019E-1
1.219829667E0,-1.769875981E-1,2.062256681E-1,-1.932931620E-1
1.229870667E0,-2.218105626E-1,2.984319466E-1,-4.703336549E-1
1.239909000E0,1.784603108E-1,-4.800651759E-2,-2.227531886E-1
1.249949000E0,2.157245979E-1,-4.703099737E-1,3.435782987E-1
1.259989000E0,2.715793762E-1,-3.480251793E-2,5.580225939E-1
1.270030000E0,-3.601456533E-1,1.983088670E-1,2.958328593E-1
1.280070000E0,3.671517871E-2,-1.044840427E-1,1.776658934E-1
1.290110000E0,3.128621074E-1,-4.852969721E-2,-9.516869724E-2
1.300151000E0,6.734021920E-1,2.966913767E-3,-4.183916688E-1
1.310191000E0,3.707405157E-1,1.473162130E-2,-1.626672006E-1
1.320231000E0,3.749437136E-1,1.338394772E-2,-5.118535638E-1
1.330271000E0,5.496536203E-1,4.312073037E-2,-5.363551515E-1
1.340312000E0,1.307496257E-1,-3.645957499E-1,3.200099266E-1
1.350352000E0,2.963919079E-1,-6.075326499E-2,3.060929686E-1
1.360392000E0,3.465376111E-1,3.764111089E-1,2.722270650E-1
1.370432000E0,5.253547847E-1,1.201824280E-1,2.717101711E-1
1.380473000E0,3.209242484E-1,-3.089564232E-1,1.997514117E-1
1.390513000E0,8.982429645E-2,-1.679599540E-1,-1.332077587E-1
1.400523000E0,1.250288105E-1,-3.292888731E-2,-2.760792106E-1
1.410563000E0,1.202029481E-1,-1.623738896E-1,-6.179746807E-2
1.420603000E0,3.264447874E-1,-1.047353268E-2,-1.328487396E-2
1.430644000E0,4.490506670E-1,1.295250361E-1,-1.021134353E-1
1.440684000E0,2.723250241E-1,8.006402358E-2,4.495807171E-2
1.450724000E0,-4.210653995E-2,-2.173836905E-1,2.133467728E-1
1.460765000E0,-2.117130607E-2,-1.389310499E-1,-1.080343258E-1
1.470805000E0,2.582596017E-1,-1.733401233E-1,-1.860969937E-1
1.480845000E0,4.585390900E-1,-2.350325242E-1,-4.554396272E-3
1.490885000E0,4.097471817E-1,-2.351620400E-1,9.567389667E-2
1.500926000E0,5.422985539E-1,-2.060511287E-2,2.323186487E-1
1.510966000E0,5.606096579E-1,1.317965332E-1,2.624271315E-1
1.521006000E0,1.787375053E-1,-4.820261858E-2,1.946380216E-1
1.531047000E0,3.072218832E-1,-7.305606253E-2,3.215617776E-2
1.541087000E0,3.423445362E-1,-8.988910004E-2,-6.967659116E-2
1.551127000E0,5.259940316E-1,-1.765674574E-1,-6.076718867E-2
1.561167000E0,7.419541443E-1,-3.391533817E-1,3.657491863E-2
1.571208000E0,5.853055559E-1,-1.993000797E-1,-2.894196332E-2
1.581248000E0,5.390139536E-1,-3.264357973E-2,-7.255225182E-3
1.591288000E0,4.781850402E-1,-5.092084296E-3,-8.864028096E-2
1.601328000E0,7.015819708E-1,-4.462591331E-2,2.952843904E-3
1.611369000E0,8.244534601E-1,-1.227648508E-1,2.394393879E-1
1.621409000E0,8.560451623E-1,-3.615914505E-2,1.286416680E-1
1.631449000E0,6.724948503E-1,-3.464952553E-1,9.895535409E-2
1.641490000E0,5.869240287E-1,-3.102115646E-1,3.815308213E-3
1.651530000E0,8.620334420E-1,-2.034896097E-1,3.252279818E-2
1.661570000E0,1.057024051E0,-7.146843385E-2,8.329884946E-2
1.671610000E0,1.235291988E0,-8.453608375E-2,1.081793368E-1
1.681651000E0,1.361827050E0,4.769910023E-2,3.860974967E-2
1.691691000E0,1.362163119E0,-5.357726958E-2,1.452033216E-1
1.701731000E0,1.061243328E0,-2.379431951E-1,1.404776019E-1
1.711772000E0,9.850650720E-1,-1.654471862E-1,-6.259444356E-3
1.721812000E0,1.184773580E0,-6.446244624E-3,-1.678086573E-1
1.731852000E0,1.369304616E0,1.506159795E-1,-1.868360817E-2
1.741892000E0,1.491909619E0,-5.334559193E-2,6.614779651E-2
1.751933000E0,1.249713707E0,-5.576778274E-2,-3.863255382E-2
1.761973000E0,1.298036559E0,1.052494067E-1,-1.388234246E-1
1.772013000E0,1.231952205E0,2.650518187E-1,-2.162750584E-1
1.782054000E0,1.439298857E0,6.609414831E-2,-4.335710406E-3
1.792063000E0,1.544581337E0,1.221931575E-1,5.522987545E-2
1.802104000E0,1.451888790E0,3.604579677E-1,-6.397789478E-2
1.812144000E0,1.288109741E0,5.618715966E-1,-1.574754578E-1
1.822184000E0,1.126171834E0,4.003195697E-1,-6.510523796E-2
1.832224000E0,1.370445408E0,3.166040696E-1,7.048993886E-2
1.842265000E0,1.572358097E0,4.462939972E-1,1.875202060E-2
1.852305000E0,1.345988844E0,5.317317216E-1,7.933092892E-2
1.862345000E0,1.296579725E0,4.884471595E-1,5.993980765E-2
1.872386000E0,1.137191351E0,5.040437302E-1,-2.408877432E-2
1.882426000E0,1.114799804E0,6.072660168E-1,-7.361176729E-2
1.892466000E0,1.376814926E0,4.987608805E-1,-1.858204204E-1
1.902506000E0,1.064646993E0,4.389385288E-1,-1.237563193E-1
1.912547000E0,8.562026717E-1,5.315146802E-1,-1.840492988E-1
1.922587000E0,5.654663917E-1,5.213435948E-1,-2.693508196E-1
1.932627000E0,4.732850370E-1,4.110746093E-1,-5.455803037E-2
1.942668000E0,6.669991985E-1,5.004175063E-1,-1.134342295E-1
1.952708000E0,7.088731563E-1,4.320640304E-1,1.577111006E-2
1.962748000E0,4.620381735E-1,4.711132349E-1,1.226792622E-1
1.972788000E0,2.896133953E-1,6.375746206E-1,6.947544694E-2
1.982829000E0,3.496649578E-2,4.131606035E-1,-1.375832301E-1
1.992869000E0,2.976750246E-1,3.254390663E-1,1.724881840E-1
2.002909000E0,9.068655062E-2,5.959270962E-1,1.781412721E-1
2.012950000E0,-5.471086197E-2,5.408482617E-1,6.634777129E-2
2.022990000E0,-3.093790672E-1,4.584219264E-1,-9.502485573E-2
2.033030000E0,-1.429824394E-1,4.836534660E-1,-1.608025235E-1
2.043070000E0,-1.118489762E-1,5.396971276E-1,2.779181600E-3
