"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.585090000E-1,7.666070014E-4,5.709559657E-3,-2.765663564E-1
1.685490000E-1,2.199388109E-3,8.448353969E-3,-2.794255316E-1
1.785890000E-1,-3.602100536E-3,7.240043022E-3,-2.830435038E-1
1.886290000E-1,-5.049529485E-3,4.652272910E-4,-2.872643471E-1
1.986700000E-1,-5.828443915E-3,2.930313349E-5,-2.871985137E-1
2.087100000E-1,-6.038555875E-4,1.278131735E-2,-2.913272083E-1
2.187500000E-1,-1.773154363E-4,7.001899183E-3,-2.911066711E-1
2.287910000E-1,-5.443450063E-3,-1.043509692E-3,-2.973214090E-1
2.388310000E-1,-6.350994110E-3,-4.539906513E-3,-2.977905571E-1
2.488710000E-1,-6.457254291E-3,-1.026996411E-2,-2.995719612E-1
2.589110000E-1,1.505292021E-3,6.425867788E-3,-3.006286025E-1
2.689210000E-1,5.604028702E-4,1.618470997E-4,-3.027647138E-1
2.789620000E-1,-2.729568630E-3,-9.442752227E-3,-3.051312268E-1
2.890274167E-1,-2.538886853E-3,1.514824107E-3,-3.090242445E-1
2.990674167E-1,-3.437379375E-3,2.715942450E-3,-3.063932061E-1
3.091074167E-1,1.920102164E-3,1.451747399E-2,-3.066563308E-1
3.191484167E-1,-9.360611439E-4,4.841758870E-3,-3.070962429E-1
3.291884167E-1,-2.564052120E-3,6.705706008E-3,-3.073564470E-1
3.392284167E-1,-8.547976613E-4,1.041950379E-2,-3.064763546E-1
3.492694167E-1,1.737789251E-3,1.630668715E-2,-3.050739467E-1
3.593094167E-1,7.556149736E-3,3.072280809E-2,-3.043380380E-1
3.693494167E-1,7.659746800E-3,2.797922119E-2,-3.049689531E-1
3.793894167E-1,7.877305150E-3,2.447369136E-2,-3.048977852E-1
3.894304167E-1,6.556377281E-3,2.226832695E-2,-3.036223948E-1
3.994704167E-1,1.845580339E-2,3.236742318E-2,-3.023956716E-1
4.094804167E-1,2.104892395E-2,3.674965724E-2,-3.027527928E-1
4.195204167E-1,2.115303278E-2,2.491322532E-2,-2.995066047E-1
4.295604167E-1,2.389475703E-2,2.456541732E-2,-2.974330783E-1
4.396014167E-1,2.378060669E-2,2.006849274E-2,-2.958027124E-1
4.496414167E-1,2.817295864E-2,2.526059374E-2,-2.958669066E-1
4.596814167E-1,2.828899398E-2,2.314596251E-2,-2.941193581E-1
4.697214167E-1,3.044721857E-2,2.068306878E-2,-2.987860143E-1
4.797624167E-1,3.195656464E-2,1.638381556E-2,-2.990284860E-1
4.898024167E-1,3.267828003E-2,2.241986990E-2,-2.965640128E-1
4.998424167E-1,2.817489766E-2,2.361670323E-2,-2.991252244E-1
5.098834167E-1,3.626318276E-2,2.946767025E-2,-2.996445596E-1
5.199234167E-1,2.731874958E-2,3.176840767E-2,-2.944201231E-1
5.299634167E-1,1.855961233E-2,2.068885788E-2,-2.997147739E-1
5.400034167E-1,1.935656369E-2,2.334338427E-2,-3.007671237E-1
5.500134167E-1,8.418959565E-3,2.885692567E-2,-3.006033301E-1
5.600534167E-1,5.643167067E-3,3.016348183E-2,-3.037424684E-1
5.700944167E-1,-6.517469883E-4,2.665370330E-2,-3.020963669E-1
5.801344167E-1,-8.307881653E-3,3.811670467E-2,-2.981823087E-1
5.901744167E-1,-1.679830439E-2,2.705207095E-2,-3.001293540E-1
6.002154167E-1,-2.487213165E-2,1.618321985E-2,-3.018864989E-1
6.102554167E-1,-2.442658693E-2,2.262753621E-2,-3.014662564E-1
6.202954167E-1,-4.419414327E-2,6.713801995E-4,-2.988984585E-1
6.303354167E-1,-4.297468066E-2,9.190033190E-3,-2.986513376E-1
6.403764167E-1,-4.950431734E-2,5.879100412E-3,-2.940653563E-1
