"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.309357917E1,4.769610026E1,1.764120707E1,1.143887642E2,9.423527718E0,2.325503693E2,6.000906205E0,6.000906205E0
2.409339762E1,4.769605639E1,1.764113328E1,1.143892304E2,9.438205719E0,2.277496796E2,6.000906205E0,6.000906205E0
2.509324551E1,4.769598565E1,1.764103056E1,1.143895242E2,9.518529892E0,2.255524292E2,6.000906205E0,6.000906205E0
2.609310114E1,4.769592151E1,1.764093162E1,1.143897047E2,9.518529892E0,2.275757751E2,6.000906205E0,6.000906205E0
2.709297013E1,4.769588292E1,1.764086907E1,1.143898189E2,9.639502525E0,2.275757751E2,6.000906205E0,6.000906205E0
2.809283352E1,4.769580954E1,1.764072705E1,1.143898852E2,9.845592499E0,2.327102661E2,6.000906205E0,6.000906205E0
2.909271550E1,4.769575601E1,1.764062293E1,1.143899193E2,9.821546555E0,2.327102661E2,6.000906205E0,6.000906205E0
3.009260380E1,4.769570389E1,1.764051785E1,1.143899502E2,9.821546555E0,2.339935303E2,6.000906205E0,6.000906205E0
3.109249866E1,4.769565305E1,1.764041422E1,1.143899670E2,9.573513031E0,2.339935303E2,4.000604137E0,4.000604137E0
3.209239829E1,4.769560407E1,1.764031166E1,1.143899824E2,9.345022202E0,2.351692657E2,4.000604137E0,4.000604137E0
3.309230554E1,4.769555669E1,1.764020831E1,1.143899840E2,9.270442009E0,2.369255524E2,4.000604137E0,4.000604137E0
3.409221828E1,4.769551107E1,1.764010454E1,1.143899841E2,9.306708336E0,2.369255524E2,4.000604137E0,4.000604137E0
3.509213638E1,4.769546538E1,1.763999829E1,1.144381729E2,9.436837196E0,2.376726837E2,6.000906205E0,6.000906205E0
3.609205818E1,4.769541976E1,1.763989152E1,1.145285066E2,9.395066261E0,2.376726837E2,6.000906205E0,6.000906205E0
3.709198618E1,4.769537420E1,1.763978486E1,1.146458515E2,9.436837196E0,2.376726837E2,6.000906205E0,6.000906205E0
3.809191763E1,4.769532623E1,1.763967355E1,1.147753456E2,9.520767212E0,2.368247681E2,6.000906205E0,6.000906205E0
3.909185410E1,4.769527752E1,1.763956318E1,1.149320237E2,1.014820004E1,2.368247681E2,4.000604137E0,4.000604137E0
4.009179294E1,4.769523101E1,1.763945780E1,1.150890718E2,1.014820004E1,2.368247681E2,4.000604137E0,4.000604137E0
4.109173512E1,4.769518321E1,1.763932972E1,1.152322592E2,1.014116192E1,2.410885773E2,4.000604137E0,4.000604137E0
4.209168053E1,4.769516213E1,1.763927319E1,1.153784276E2,9.606941223E0,2.410885773E2,4.000604137E0,4.000604137E0
4.309162962E1,4.769509583E1,1.763911134E1,1.156805338E2,9.576623917E0,2.387146759E2,4.000604137E0,4.000604137E0
4.409158182E1,4.769505213E1,1.763900481E1,1.158996411E2,9.143181801E0,2.387146759E2,4.000604137E0,4.000604137E0
4.509153533E1,4.769501327E1,1.763891009E1,1.160721595E2,9.949734688E0,2.387146759E2,6.000906205E0,6.000906205E0
4.609149313E1,4.769496333E1,1.763877568E1,1.161726679E2,9.949734688E0,2.422294464E2,6.000906205E0,6.000906205E0
4.709145260E1,4.769492147E1,1.763865792E1,1.162441370E2,9.949734688E0,2.422294464E2,6.000906205E0,6.000906205E0
4.809141362E1,4.769490783E1,1.763861957E1,1.162930498E2,9.686822891E0,2.422294464E2,6.000906205E0,6.000906205E0
4.909137738E1,4.769484000E1,1.763843402E1,1.163230118E2,9.563819885E0,2.415534210E2,6.000906205E0,6.000906205E0
5.009134316E1,4.769479682E1,1.763831593E1,1.163147490E2,9.665027618E0,2.415534210E2,6.000906205E0,6.000906205E0
5.109131098E1,4.769475658E1,1.763820593E1,1.162664910E2,9.563819885E0,2.415534210E2,6.000906205E0,6.000906205E0
5.209127986E1,4.769471554E1,1.763809372E1,1.163106859E2,9.665027618E0,2.415534210E2,6.000906205E0,6.000906205E0
5.309125054E1,4.769467453E1,1.763798360E1,1.163608347E2,9.623700142E0,2.404907684E2,6.000906205E0,6.000906205E0
5.409122288E1,4.769463156E1,1.763787115E1,1.163477219E2,9.277712822E0,2.404907684E2,6.000906205E0,6.000906205E0
5.509119630E1,4.769459019E1,1.763776288E1,1.164247047E2,9.277712822E0,2.404907684E2,6.000906205E0,6.000906205E0
5.609117091E1,4.769454744E1,1.763765534E1,1.164560907E2,9.277712822E0,2.389003143E2,6.000906205E0,6.000906205E0
5.709114718E1,4.769450219E1,1.763754570E1,1.164432991E2,9.442525864E0,2.366540680E2,6.000906205E0,6.000906205E0
5.809112430E1,4.769445101E1,1.763743050E1,1.164257601E2,9.801183701E0,2.366540680E2,6.000906205E0,6.000906205E0
5.909110272E1,4.769440457E1,1.763732686E1,1.164418238E2,8.991215706E0,2.359576569E2,6.000906205E0,6.000906205E0
6.009108281E1,4.769435986E1,1.763722885E1,1.162263243E2,8.991215706E0,2.359576569E2,6.000906205E0,6.000906205E0
6.109106243E1,4.769431546E1,1.763713148E1,1.162691794E2,8.861310959E0,2.359576569E2,6.000906205E0,6.000906205E0
6.209104443E1,4.769426818E1,1.763702782E1,1.162173522E2,8.861310959E0,2.359576569E2,6.000906205E0,6.000906205E0
6.309102571E1,4.769421875E1,1.763691945E1,1.161483115E2,9.302578926E0,2.359576569E2,6.000906205E0,6.000906205E0
6.409100926E1,4.769417017E1,1.763681521E1,1.161356533E2,9.737190247E0,2.353313293E2,6.000906205E0,6.000906205E0
6.509099209E1,4.769412058E1,1.763670902E1,1.161926287E2,9.737190247E0,2.353313293E2,4.000604137E0,4.000604137E0
6.609097648E1,4.769406836E1,1.763659716E1,1.162630632E2,9.729832649E0,2.353313293E2,4.000604137E0,4.000604137E0
6.709096146E1,4.769402054E1,1.763649476E1,1.163103990E2,9.378395081E0,2.353313293E2,4.000604137E0,4.000604137E0
6.809094667E1,4.769397348E1,1.763639396E1,1.163402638E2,9.312787056E0,2.353313293E2,4.000604137E0,4.000604137E0
6.909093368E1,4.769392922E1,1.763629918E1,1.163589333E2,8.563725471E0,2.353313293E2,4.000604137E0,4.000604137E0
7.009092009E1,4.769388538E1,1.763620529E1,1.163705918E2,8.701792717E0,2.353313293E2,4.000604137E0,4.000604137E0
7.109090650E1,4.769386780E1,1.763616763E1,1.163778825E2,8.701792717E0,2.353313293E2,4.000604137E0,4.000604137E0
7.209089506E1,4.769381457E1,1.763598285E1,1.163824294E2,9.011969566E0,2.469327087E2,4.000604137E0,4.000604137E0
7.309088302E1,4.769379285E1,1.763590732E1,1.163852736E2,9.434535027E0,2.469327087E2,6.000906205E0,6.000906205E0
7.409087169E1,4.769372949E1,1.763576791E1,1.163870412E2,9.649032593E0,2.355240631E2,6.000906205E0,6.000906205E0
7.509086001E1,4.769367804E1,1.763565692E1,1.163881517E2,9.649032593E0,2.355240631E2,6.000906205E0,6.000906205E0
7.609085000E1,4.769362774E1,1.763554841E1,1.163888396E2,9.598617554E0,2.355240631E2,6.000906205E0,6.000906205E0
7.709083951E1,4.769357855E1,1.763544229E1,1.163892792E2,9.598617554E0,2.355240631E2,6.000906205E0,6.000906205E0
7.809082901E1,4.769352942E1,1.763533631E1,1.163977963E2,9.638091087E0,2.355240631E2,6.000906205E0,6.000906205E0
7.909081900E1,4.769348016E1,1.763523004E1,1.164069839E2,9.673991203E0,2.355240631E2,6.000906205E0,6.000906205E0
8.009080970E1,4.769343111E1,1.763512424E1,1.164018190E2,9.673991203E0,2.355240631E2,6.000906205E0,6.000906205E0
8.109080017E1,4.769338203E1,1.763501836E1,1.163974985E2,9.628087997E0,2.355240631E2,6.000906205E0,6.000906205E0
8.209079111E1,4.769333263E1,1.763491180E1,1.163946906E2,9.492357254E0,2.355240631E2,6.000906205E0,6.000906205E0
8.309078300E1,4.769328513E1,1.763480933E1,1.163929267E2,9.492357254E0,2.355240631E2,6.000906205E0,6.000906205E0
8.409078002E1,4.769324906E1,1.763473152E1,1.163918302E2,8.379744530E0,2.355240631E2,6.000906205E0,6.000906205E0
8.509076571E1,4.769319744E1,1.763463036E1,1.163911438E2,8.379744530E0,2.327154236E2,6.000906205E0,6.000906205E0
8.609075773E1,4.769314747E1,1.763453312E1,1.163907181E2,8.379744530E0,2.327154236E2,8.001208274E0,8.001208274E0
8.709074914E1,4.769309859E1,1.763443803E1,1.163904420E2,8.669924736E0,2.327154236E2,6.000906205E0,6.000906205E0
8.809074187E1,4.769304745E1,1.763433855E1,1.163684143E2,9.120764732E0,2.327154236E2,6.000906205E0,6.000906205E0
8.909073400E1,4.769299813E1,1.763424259E1,1.163496222E2,8.618803024E0,2.327154236E2,6.000906205E0,6.000906205E0
9.009072602E1,4.769294868E1,1.763414637E1,1.163620939E2,8.823067665E0,2.327154236E2,6.000906205E0,6.000906205E0
9.109071994E1,4.769291194E1,1.763407490E1,1.163722949E2,8.823067665E0,2.327154236E2,6.000906205E0,6.000906205E0
9.209071171E1,4.769284246E1,1.763395256E1,1.163789180E2,9.225255013E0,2.295587158E2,6.000906205E0,6.000906205E0
9.309070456E1,4.769278459E1,1.763385198E1,1.163830685E2,9.683149338E0,2.295587158E2,6.000906205E0,6.000906205E0
