"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,3.751199341E-1,1.050216064E0,9.705966339E0
9.979999995E-3,5.957611084E-2,1.298549652E0,9.758656769E0
2.002000000E-2,4.008663940E-1,1.203497314E0,9.609117737E0
3.003000000E-2,2.142045593E-1,1.113534393E0,9.854008484E0
4.007000000E-2,3.164419556E-1,9.795629883E-1,9.699080658E0
5.011000000E-2,3.793112183E-1,9.957293701E-1,9.703571320E0
6.015000000E-2,1.318757629E-1,1.216669922E0,9.713750153E0
7.019100000E-2,3.159928894E-1,1.207838287E0,9.642797699E0
8.023100000E-2,2.047741699E-1,1.164428558E0,9.892029419E0
9.027100000E-2,4.227209473E-1,1.020877075E0,9.645342407E0
1.003120000E-1,2.911445618E-1,1.184486847E0,9.757459259E0
1.103210000E-1,2.962339783E-1,1.215622101E0,9.674082642E0
1.203620000E-1,3.924838257E-1,1.161883850E0,9.730964355E0
1.304020000E-1,2.436932373E-1,1.039288788E0,9.898765411E0
1.404420000E-1,4.064048767E-1,8.443940735E-1,9.686656494E0
1.504830000E-1,2.800675964E-1,1.082399139E0,9.814041595E0
1.605230000E-1,1.950444031E-1,1.186732178E0,9.667795715E0
1.705630000E-1,3.255729675E-1,1.251098328E0,9.808054047E0
1.806030000E-1,2.903961182E-1,1.212179260E0,9.867181091E0
1.906440000E-1,4.686753845E-1,1.053509216E0,9.696985016E0
2.006840000E-1,3.067121887E-1,1.182391205E0,9.805209961E0
2.107240000E-1,3.969744873E-1,1.198856964E0,9.635013885E0
2.207650000E-1,4.749623108E-1,1.221310272E0,9.797575836E0
2.308050000E-1,2.954855347E-1,1.174008636E0,9.784852295E0
2.408150000E-1,3.616479492E-1,1.092128906E0,9.594148865E0
2.508550000E-1,2.736309814E-1,1.323847046E0,9.702673187E0
2.608950000E-1,3.646417236E-1,1.399888916E0,9.520352325E0
2.709350000E-1,4.472698975E-1,1.437311096E0,9.706415405E0
2.809760000E-1,4.532574463E-1,1.296304321E0,9.631571045E0
2.910414167E-1,5.384303284E-1,1.183139648E0,9.467512207E0
3.010814167E-1,5.207670593E-1,1.356329498E0,9.580527191E0
3.111224167E-1,3.881428528E-1,1.370849304E0,9.486372986E0
3.211624167E-1,5.351371765E-1,1.375339966E0,9.724228363E0
3.312024167E-1,3.287164307E-1,1.323547668E0,9.648336182E0
3.412424167E-1,6.438111877E-1,1.247954865E0,9.524992676E0
3.512834167E-1,6.448590088E-1,1.465302887E0,9.691296844E0
3.613234167E-1,5.556445312E-1,1.509311371E0,9.608518982E0
3.713634167E-1,8.026309204E-1,1.671723633E0,9.796228638E0
3.813734167E-1,5.281018066E-1,1.796713715E0,9.700427856E0
3.914134167E-1,6.839277649E-1,1.633702698E0,9.641001434E0
4.014544167E-1,6.259982300E-1,1.943408661E0,9.776170349E0
4.114944167E-1,5.647755432E-1,1.834435272E0,9.659263458E0
4.215344167E-1,6.858737183E-1,1.922901306E0,9.756112061E0
4.315744167E-1,4.364923096E-1,2.339035950E0,9.653575287E0
4.416154167E-1,6.894662476E-1,2.598895569E0,9.573342133E0
4.516554167E-1,7.378157043E-1,2.669548645E0,9.880952454E0
4.616954167E-1,4.755610657E-1,2.219883728E0,9.855655060E0
4.717364167E-1,6.107299805E-1,2.174228668E0,9.656569061E0
4.817764167E-1,5.863307190E-1,2.661315765E0,9.596394196E0
4.918164167E-1,2.671943665E-1,2.533182220E0,9.552086334E0
5.018564167E-1,3.704795837E-1,2.309696960E0,9.937834167E0
5.118974167E-1,6.584806824E-1,2.300865326E0,9.911938019E0
5.219064167E-1,2.427951050E-1,1.861528931E0,9.793085175E0
5.319474167E-1,2.180964661E-1,2.040257263E0,9.837692413E0
5.419874167E-1,7.578739929E-1,2.131567383E0,9.594148865E0
5.520274167E-1,1.450483704E-1,1.403182068E0,9.855954437E0
5.620684167E-1,3.577560425E-2,9.096583557E-1,1.009231293E1
5.721084167E-1,6.361770630E-1,1.363364868E0,9.718839569E0
5.821484167E-1,5.614823914E-1,9.701325989E-1,9.822424164E0
5.921884167E-1,-2.107617188E-1,4.927752686E-1,1.009815079E1
6.022294167E-1,4.186793518E-1,7.551795959E-1,9.698631592E0
6.122694167E-1,5.204676819E-1,5.810916138E-1,9.715696106E0
6.223094167E-1,-1.820214844E-1,-8.472381592E-2,9.991422729E0
6.323504167E-1,3.227288818E-1,2.032772827E-1,9.714348907E0
6.423904167E-1,6.032455444E-1,1.833686829E-1,9.750274200E0
6.524304167E-1,-1.142124939E-1,-5.029541016E-1,9.937983856E0
6.624404167E-1,3.435356140E-1,-5.987548828E-2,9.658814392E0
6.724804167E-1,4.044589233E-1,3.296145630E-1,9.583670654E0
6.825204167E-1,2.029779053E-1,-3.662882996E-1,9.931996307E0
6.925614167E-1,5.261558533E-1,-1.112187195E-1,9.933792572E0
7.026014167E-1,4.649331665E-1,3.195854187E-1,9.668394470E0
7.126414167E-1,4.785548401E-1,-2.185455322E-2,9.770781555E0
7.226824167E-1,5.132826233E-1,3.189866638E-1,9.799970856E0
7.327224167E-1,4.029620361E-1,6.500981140E-1,9.460925903E0
7.427624167E-1,4.954696655E-1,5.837860107E-1,9.643546143E0
7.528024167E-1,3.583547974E-1,8.747808838E-1,9.842033386E0
7.628434167E-1,5.740562439E-1,1.282832336E0,9.631421356E0
7.728834167E-1,4.887336731E-1,1.113833771E0,9.825567627E0
7.829234167E-1,2.294728088E-1,1.460662537E0,9.813293152E0
7.929644167E-1,2.302212524E-1,1.790277100E0,9.587113495E0
8.029734167E-1,2.164498901E-1,1.775906982E0,9.741891632E0
8.130144167E-1,9.071136475E-2,2.130519562E0,9.909842377E0
8.230544167E-1,1.574725342E-1,2.216889954E0,9.635612640E0
8.330944167E-1,1.293310547E-1,2.203717346E0,9.834998016E0
8.431344167E-1,-2.950364685E-1,2.446961517E0,9.721084900E0
8.531754167E-1,1.453477478E-1,2.445614319E0,9.592801666E0
8.632154167E-1,-3.421884155E-1,2.455194397E0,9.828561401E0
8.732554167E-1,2.395019531E-2,2.639161835E0,9.647737427E0
8.832964167E-1,-1.555265808E-1,2.661465454E0,9.661658478E0
8.933364167E-1,-1.050814819E-1,2.352358246E0,9.654323730E0
9.033764167E-1,4.625381470E-2,2.549797668E0,9.629774780E0
9.134164167E-1,8.637039185E-2,2.321672058E0,9.621092834E0
9.234574167E-1,3.743714905E-1,2.163750458E0,9.661359100E0
9.334674167E-1,1.445993042E-1,2.294279022E0,9.662706299E0
9.435074167E-1,7.861651611E-1,1.910626831E0,9.634415131E0
9.535474167E-1,4.071533203E-1,1.618434448E0,9.933044128E0
9.635874167E-1,5.436694336E-1,1.645827484E0,9.907297668E0
9.736284167E-1,6.972500610E-1,1.533261566E0,1.002540207E1
9.836684167E-1,4.834945679E-1,1.331930237E0,1.003228775E1
9.937084167E-1,7.544311523E-1,1.265318756E0,1.004067032E1
1.003748417E0,4.604425049E-1,1.102008362E0,1.001118164E1
1.013789417E0,1.105750580E0,8.834628296E-1,1.013048355E1
