"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.585090000E-1,1.052699815E-3,-4.099833727E-2,7.257213235E-2
1.685490000E-1,-8.047148315E-2,6.274113558E-2,-7.370473802E-2
1.785890000E-1,5.347541839E-2,1.267627383E-1,6.649687529E-2
1.886290000E-1,2.192062676E-2,8.722196572E-2,1.255952686E-1
1.986700000E-1,2.037528258E-1,-7.200575642E-2,-4.463355124E-2
2.087100000E-1,4.559666075E-2,5.651275456E-2,6.353058279E-2
2.187500000E-1,1.393724050E-1,7.258221880E-2,-1.067134398E-1
2.287910000E-1,2.208638619E-1,9.464588307E-2,5.580173314E-2
2.388310000E-1,4.499019485E-2,4.697185278E-2,4.302790582E-2
2.488710000E-1,1.139323209E-1,-3.544136278E-2,-1.476848799E-1
2.589110000E-1,2.916260434E-2,1.959913597E-1,-3.920967400E-2
2.689210000E-1,1.230311732E-1,2.718159326E-1,-2.215761441E-1
2.789620000E-1,2.086796349E-1,3.087806413E-1,-3.553469896E-2
2.890274167E-1,2.178559262E-1,1.673663885E-1,-1.104094648E-1
2.990674167E-1,3.065839154E-1,5.373847000E-2,-2.744998777E-1
3.091074167E-1,2.927382935E-1,2.265363371E-1,-1.615293324E-1
3.191484167E-1,1.641573817E-1,2.403747232E-1,-2.556987405E-1
3.291884167E-1,3.154280484E-1,2.442836599E-1,-1.787318408E-2
3.392284167E-1,1.139616483E-1,1.917564406E-1,-9.379050851E-2
3.492694167E-1,4.344117972E-1,1.152109791E-1,-2.171398616E-1
3.593094167E-1,4.412461324E-1,3.315256523E-1,-5.083803177E-2
3.693494167E-1,3.580465029E-1,3.742882407E-1,-1.335948443E-1
3.793894167E-1,6.112346683E-1,5.352115092E-1,5.416509748E-2
3.894304167E-1,3.434462978E-1,6.584551008E-1,-4.156200886E-2
3.994704167E-1,5.057418713E-1,4.935884701E-1,-1.008919519E-1
4.094804167E-1,4.540027105E-1,8.011995951E-1,3.441086411E-2
4.195204167E-1,3.989198194E-1,6.898846158E-1,-8.232762694E-2
4.295604167E-1,5.260052875E-1,7.756276014E-1,1.474141538E-2
4.396014167E-1,2.827447624E-1,1.188742670E0,-8.753808081E-2
4.496414167E-1,5.415694061E-1,1.445419722E0,-1.674853063E-1
4.596814167E-1,5.957201048E-1,1.512766783E0,1.404308242E-1
4.697214167E-1,3.392784025E-1,1.059676786E0,1.154573661E-1
4.797624167E-1,4.818743410E-1,9.193580094E-1,-7.198682606E-2
4.898024167E-1,4.634124884E-1,1.402824072E0,-1.317705131E-1
4.998424167E-1,1.503969099E-1,1.271541948E0,-1.757462525E-1
5.098834167E-1,2.593615825E-1,1.044911178E0,2.103436428E-1
5.199234167E-1,5.520645735E-1,9.649927501E-1,1.939024419E-1
5.299634167E-1,1.428887287E-1,5.230394335E-1,7.534020424E-2
5.400034167E-1,1.246309531E-1,6.995307675E-1,1.201918566E-1
5.500134167E-1,6.708168456E-1,7.892083445E-1,-1.231856310E-1
5.600534167E-1,6.247647598E-2,7.716862857E-3,1.460646164E-1
5.700944167E-1,-3.993493431E-2,-4.860268508E-1,3.823991328E-1
5.801344167E-1,5.678067033E-1,-3.224870995E-2,8.860870600E-3
5.901744167E-1,4.998927553E-1,-4.242523330E-1,1.122238559E-1
6.002154167E-1,-2.683641750E-1,-9.378600615E-1,3.932001096E-1
6.102554167E-1,3.669339418E-1,-6.730640768E-1,-6.703832746E-3
6.202954167E-1,4.741820730E-1,-8.439072928E-1,9.856066704E-3
6.303354167E-1,-2.231249253E-1,-1.505761526E0,2.849786729E-1
6.403764167E-1,2.837993260E-1,-1.239670383E0,1.112842083E-2
6.504164167E-1,5.696671776E-1,-1.254722432E0,4.631287158E-2
6.604564167E-1,-1.419816519E-1,-1.935988106E0,2.332559574E-1
6.704974167E-1,3.219878203E-1,-1.487932635E0,-4.666253507E-2
6.805374167E-1,3.864201534E-1,-1.110143593E0,-1.200848526E-1
6.905474167E-1,1.924128454E-1,-1.801155113E0,2.275052208E-1
7.005874167E-1,5.234635394E-1,-1.541393143E0,2.286039126E-1
7.106274167E-1,4.704686159E-1,-1.106403421E0,-3.740931630E-2
7.206674167E-1,4.878535575E-1,-1.453645147E0,6.583497047E-2
7.307084167E-1,5.306969106E-1,-1.109626407E0,9.456701875E-2
7.407484167E-1,4.281015186E-1,-7.759872052E-1,-2.448322749E-1
7.507884167E-1,5.280274008E-1,-8.405264327E-1,-6.245060205E-2
7.608294167E-1,3.927720934E-1,-5.547575086E-1,1.368113977E-1
7.708694167E-1,6.151263557E-1,-1.465894040E-1,-7.379186153E-2
7.809094167E-1,5.352917623E-1,-3.159554672E-1,1.204333466E-1
7.909494167E-1,2.803753062E-1,2.937787324E-2,1.084009463E-1
8.009904167E-1,1.950110009E-1,6.239090198E-1,-1.532379806E-1
8.110304167E-1,1.172911169E-1,7.247325593E-1,-1.112315834E-2
8.210404167E-1,-4.332788626E-2,1.118062112E0,1.531491029E-1
8.310804167E-1,-9.520783704E-3,1.237497412E0,-1.239469385E-1
8.411204167E-1,-5.260396399E-2,1.227867047E0,7.535072923E-2
8.511614167E-1,-5.083173139E-1,1.441445078E0,-3.491547883E-2
8.612014167E-1,-8.843666995E-2,1.427150097E0,-1.613860756E-1
8.712414167E-1,-5.772045310E-1,1.402468415E0,7.804161787E-2
8.812814167E-1,-2.125036043E-1,1.525749063E0,-9.600426435E-2
8.913224167E-1,-3.897966646E-1,1.493009187E0,-7.568869829E-2
9.013624167E-1,-3.250582664E-1,1.109702859E0,-7.416608334E-2
9.114024167E-1,-1.638853218E-1,1.238873846E0,-8.996876836E-2
9.214434167E-1,-1.106148483E-1,9.558908281E-1,-9.137034595E-2
9.314834167E-1,2.188778185E-1,7.366861685E-1,-4.304252386E-2
9.415234167E-1,-2.128459588E-3,8.147361186E-1,-3.396939933E-2
9.515634167E-1,6.814866985E-1,3.855851345E-1,-5.575437069E-2
9.615734167E-1,3.129988957E-1,4.554469362E-2,2.504181200E-1
9.716134167E-1,4.706666538E-1,3.054059207E-2,2.314713871E-1
9.816544167E-1,6.400381257E-1,-1.089206176E-1,3.539980370E-1
9.916944167E-1,4.276593594E-1,-3.417894892E-1,3.662836218E-1
1.001734417E0,6.972046720E-1,-4.290751165E-1,3.782768458E-1
1.011775417E0,3.839703528E-1,-6.071460758E-1,3.515211564E-1
1.021815417E0,1.027717148E0,-8.410268082E-1,4.735613179E-1
1.031855417E0,2.705139770E-1,-5.963491921E-1,5.415860707E-1
1.041895417E0,6.972565661E-1,-7.859428208E-1,3.437548846E-1
1.051936417E0,7.457945407E-2,-5.617102866E-1,2.949703950E-1
1.061976417E0,6.754093219E-1,-6.348767884E-1,1.558434999E-1
1.072016417E0,-1.544634839E-1,-6.521468322E-1,1.996900159E-1
1.082057417E0,5.670878246E-1,-6.982663071E-1,7.964258552E-2
1.092097417E0,-1.592907076E-1,-4.131429157E-1,2.658337194E-1
1.102107417E0,2.153951073E-1,-4.472432926E-1,-1.778664529E-2
1.112147417E0,-3.494137468E-1,-1.933772157E-1,-1.407600224E-1
1.122187417E0,-1.891225623E-1,1.535049060E-1,-3.742691642E-1
1.132227417E0,-3.623440602E-1,-7.224030286E-2,-2.606530863E-1
1.142268417E0,-2.116540587E-1,6.771996662E-2,-1.438537842E-1
1.152308417E0,-4.017728221E-1,3.110294804E-1,-2.442563242E-1
1.162348417E0,-2.882065004E-1,6.506964304E-1,-4.074912894E-1
1.172389417E0,-5.019294867E-1,6.395530991E-1,-6.404718429E-1
1.182429417E0,-5.626136814E-1,2.084225401E-1,-1.761204743E-1
1.192469417E0,-4.638006339E-1,6.976951803E-1,-5.095146775E-2
1.202509417E0,-4.588495041E-1,1.117410805E0,-7.426782489E-2
1.212550417E0,-1.356920213E-1,6.685130426E-1,1.051335222E-1
1.222590417E0,-4.138782761E-1,3.094171107E-1,7.531213760E-2
1.232630417E0,-2.933489073E-1,1.020076591E0,-9.422203302E-2
1.242640417E0,-2.355346173E-1,8.802018374E-1,2.729714155E-1
1.252680417E0,-2.515273186E-1,6.227357760E-2,6.578415817E-1
1.262721417E0,-2.978511354E-1,4.068694380E-1,2.489376050E-1
1.272761417E0,-1.659385898E-1,7.646805905E-1,1.344877142E-1
1.282801417E0,1.267599061E-1,2.214318641E-1,6.506904370E-1
1.292833875E0,-3.152593927E-1,1.119760801E-1,5.694153088E-1
1.302873875E0,1.065497543E-1,2.957824270E-1,2.189735484E-1
1.312913875E0,-3.877061389E-1,2.648598656E-1,3.924002105E-1
1.322953875E0,2.623410678E-1,-4.791904324E-1,2.682702541E-1
1.332994875E0,-3.200177472E-1,2.365812689E-2,1.575888938E-1
1.343034875E0,1.495370585E-1,5.308394730E-2,1.586156648E-1
1.353074875E0,-2.516605072E-2,-2.787869100E-1,2.866878140E-1
1.363114875E0,3.551397424E-1,-6.830578454E-1,4.298522115E-1
1.373155875E0,6.995804323E-2,-3.512745501E-1,1.437637371E-1
1.383165875E0,-1.101476740E-1,-2.105243218E-1,3.035307187E-1
1.393205875E0,4.421764975E-2,-6.611442353E-1,3.624151039E-1
1.403245875E0,-1.232565285E-1,-6.414753713E-1,3.385941321E-1
1.413285875E0,5.001203216E-1,-4.702848306E-1,3.182697952E-2
1.423326875E0,4.278425965E-2,-3.875328420E-1,2.626569271E-3
1.433366875E0,2.551417201E-1,-7.279350793E-1,1.518340641E-1
1.443406875E0,2.010219751E-2,-5.513640770E-1,2.842390001E-2
1.453447875E0,-1.117804907E-1,-2.413273077E-1,1.768490374E-2
1.463487875E0,6.515947089E-2,-4.166070986E-1,-7.477360904E-2
1.473527875E0,-1.125169567E-1,-2.845604508E-1,-3.689505368E-1
1.483567875E0,1.554159405E-1,-1.698420265E-1,-3.905390418E-1
1.493608875E0,-2.136209707E-1,-2.198265110E-1,-3.537904608E-1
1.503648875E0,-3.364859550E-1,-1.296318939E-1,-3.001837724E-1
1.513688875E0,-3.060046391E-1,-2.944146171E-2,-2.838226783E-1
1.523698875E0,-2.413490703E-1,4.217669740E-2,-3.011052936E-1
1.533738875E0,-3.325281209E-1,2.547359964E-1,-2.390131259E-1
1.543779875E0,-3.629711741E-1,2.331523155E-1,-2.110347837E-1
1.553819875E0,-4.744370116E-1,1.832912073E-1,-3.854063559E-1
1.563859875E0,-2.113747810E-1,1.448128738E-1,-4.714674300E-1
1.573899875E0,-3.171401862E-1,2.971188082E-1,-7.782626492E-1
1.583940875E0,3.365032408E-2,-1.359711528E-2,-7.349593395E-1
1.593980875E0,-6.845417956E-1,2.179052621E-1,-1.634127206E-1
1.604020875E0,-1.549941736E-1,7.151150590E-1,-4.766036242E-1
1.614061875E0,-2.378424402E-2,5.075976679E-1,-2.667955863E-1
1.624101875E0,-4.631244034E-1,-2.929786871E-1,2.665938574E-1
1.634141875E0,-7.146942057E-1,-3.887541792E-1,5.368141580E-1
1.644181875E0,-6.036456402E-1,-1.446805805E-2,5.826200759E-1
1.654191875E0,-4.787295257E-1,4.584860265E-2,3.288748902E-1
1.664231875E0,-4.763660445E-1,-1.550652355E-1,2.394434810E-2
1.674272875E0,-2.790705731E-1,-4.129141434E-1,2.009699714E-1
